     NUMBER  ,     AREA    ,     IYY     ,     IZZ     ,     IXX     ,     OFFX    ,     OFFY    
       1.000000,      81.995911,     619.296955,     475.815526,    1017.869692,       0.000000,     213.956918
       2.000000,      46.381600,     627.775556,     373.330950,     846.951085,       0.000000,     189.627644
       3.000000,      49.911338,     623.380481,     431.227624,     943.371200,       0.000000,     161.128055
       4.000000,      49.916339,     623.388464,     431.227855,     943.336060,       0.000000,     134.946380
       5.000000,      55.645986,     710.284615,     453.259999,    1030.645024,       0.000000,     110.997529
       6.000000,      55.640253,     710.233488,     453.186264,    1030.514062,       0.000000,      92.130851
       7.000000,      48.108324,     660.980479,     413.772116,     944.048634,       0.000000,      70.601649
       8.000000,      48.639200,     692.147610,     421.103676,     970.553423,       0.000000,      48.935845
       9.000000,      53.967600,    1054.605705,     494.919777,    1241.066042,       0.000000,      26.145645
      10.000000,      79.500000,    1522.137000,     626.778625,    1640.344463,       0.000000,       0.000000
      11.000000,      53.302400,    1485.100788,     999.969407,    2174.257355,      57.033127,     213.956918
      12.000000,      94.368800,    2572.024617,    1387.094711,    3382.413668,      57.033127,     189.627644
      13.000000,      76.708800,    2327.760355,    1268.600027,    3062.761963,      57.033127,     161.128055
      14.000000,     109.047113,    3283.962799,    2096.058975,    4486.248914,      57.033127,     110.997529
      15.000000,     132.093889,    4023.801718,    2548.499539,    5563.803716,      57.033127,      70.601649
      16.000000,     239.558400,    5994.021980,    3622.098340,    8379.365935,      57.033127,       0.000000
      17.000000,       1.195388,       2.986865,      62.839648,       8.123475,       0.700753,      -0.251297
      18.000000,       0.327040,       0.836455,       0.487675,       0.738702,      16.150767,      -0.575527
